dataset,pheno,n,n_heldout,n_train,percent_heldout
hcp,age,1089,200,889,0.18365472910927455
chcp,age,348,75,273,0.21551724137931033
hcp_sc,age,1065,200,865,0.18779342723004694
chcp_sc,age,312,75,237,0.2403846153846154
hcp,rel,1039,200,839,0.19249278152069296
chcp,rel,234,75,159,0.32051282051282054
hcp_sc,rel,1035,200,835,0.1932367149758454
chcp_sc,rel,228,75,153,0.32894736842105265
hcp_sc,match,1035,200,835,0.1932367149758454
chcp_sc,match,228,75,153,0.32894736842105265
hcp,shape,1043,200,843,0.19175455417066156
chcp,shape,265,75,190,0.2830188679245283
