train_dataset,test_dataset,pheno,num_train,num_test,sig_external,r_med,r_ground_truth,r_sig_ground_truth,mae_med,mae_ground_truth,mae_sig_ground_truth,r_infl_med,mae_infl_med,eval_metric,sig_external_mae
hcp,chcp,age,20,20,0.0,-0.0106823990133508,0.5735302336011818,1.0,13.18543341892034,12.158932360061776,1.0,-0.5842126326145326,1.026501058858564,r,
hcp,chcp,age,20,20,1.0,0.5365562601384819,0.5735302336011818,1.0,13.24345170557657,12.158932360061776,1.0,-0.0369739734626999,1.084519345514794,r,
hcp,chcp,age,20,25,0.0,-0.0223816106422291,0.5735302336011818,1.0,13.441743343408849,12.158932360061776,1.0,-0.5959118442434109,1.2828109833470729,r,
hcp,chcp,age,20,25,1.0,0.5011430879631744,0.5735302336011818,1.0,13.417645765826828,12.158932360061776,1.0,-0.0723871456380074,1.258713405765052,r,
hcp,chcp,age,20,32,0.0,-0.0403645200742552,0.5735302336011818,1.0,13.716603284064597,12.158932360061776,1.0,-0.6138947536754371,1.5576709240028208,r,
hcp,chcp,age,20,32,1.0,0.4681551121140836,0.5735302336011818,1.0,13.8749246965513,12.158932360061776,1.0,-0.1053751214870981,1.7159923364895242,r,
hcp,chcp,age,20,41,0.0,-0.052639958022806,0.5735302336011818,1.0,13.70631548727381,12.158932360061776,1.0,-0.6261701916239879,1.5473831272120346,r,
hcp,chcp,age,20,41,1.0,0.4375085658093758,0.5735302336011818,1.0,13.518384056157975,12.158932360061776,1.0,-0.136021667791806,1.359451696096201,r,
hcp,chcp,age,20,52,0.0,-0.0711461029634095,0.5735302336011818,1.0,13.628521803936442,12.158932360061776,1.0,-0.6446763365645913,1.469589443874666,r,
hcp,chcp,age,20,52,1.0,0.4221089906316198,0.5735302336011818,1.0,13.356359134677474,12.158932360061776,1.0,-0.151421242969562,1.197426774615698,r,
hcp,chcp,age,20,67,0.0,-0.0865715657080178,0.5735302336011818,1.0,13.743458317879533,12.158932360061776,1.0,-0.6601017993091997,1.584525957817755,r,
hcp,chcp,age,20,67,1.0,0.4146280136056254,0.5735302336011818,1.0,13.412327375378624,12.158932360061776,1.0,-0.1589022199955563,1.2533950153168494,r,
hcp,chcp,age,20,85,0.0,-0.1030695873062831,0.5735302336011818,1.0,13.683400807964723,12.158932360061776,1.0,-0.676599820907465,1.524468447902947,r,
hcp,chcp,age,20,85,1.0,0.4002093819104395,0.5735302336011818,1.0,13.338380833371527,12.158932360061776,1.0,-0.1733208516907423,1.179448473309753,r,
hcp,chcp,age,20,108,0.0,-0.1155177217795607,0.5735302336011818,1.0,13.635459906241053,12.158932360061776,1.0,-0.6890479553807426,1.4765275461792768,r,
hcp,chcp,age,20,108,1.0,0.3858934171023283,0.5735302336011818,1.0,13.261317078594184,12.158932360061776,1.0,-0.1876368164988535,1.1023847185324076,r,
hcp,chcp,age,20,137,0.0,-0.1217875840817628,0.5735302336011818,1.0,13.7098663093297,12.158932360061776,1.0,-0.6953178176829446,1.5509339492679235,r,
hcp,chcp,age,20,137,1.0,0.3747184996125591,0.5735302336011818,1.0,13.337078414677972,12.158932360061776,1.0,-0.1988117339886227,1.178146054616196,r,
