pheno,r_internal_external_diff,mae_internal_external_diff,mae_internal_external_diff,mae_internal,mae_external,train_dataset,test_dataset,num_train
age,0.1288922686305288,-10.665980515236772,-10.665980515236772,3.5570709928471227,14.223051508083897,hcp,chcp,52
age,-0.4512872742793195,-8.8640190369169,-8.8640190369169,3.1463073478623858,12.010326384779288,hcp,chcp,52
age,-0.1641988509524986,-10.353278233899804,-10.353278233899804,3.2078222684801228,13.561100502379926,hcp,chcp,32
age,-0.3102829392931761,-8.980821697612749,-8.980821697612749,3.292268917910856,12.273090615523603,hcp,chcp,281
age,0.0026619970124656,-10.235840537239897,-10.235840537239897,2.9921660867954576,13.228006624035354,hcp,chcp,25
age,-0.471690429558722,-8.797563485577047,-8.797563485577047,3.2464198115356213,12.043983297112668,hcp,chcp,455
age,-0.3429398381507467,-9.079898158996375,-9.079898158996375,3.5591448546965405,12.639043013692916,hcp,chcp,174
age,-0.3930855218477311,-9.176932581913253,-9.176932581913253,2.884772353822169,12.061704935735422,hcp,chcp,889
age,0.1438520976010925,-10.68457800244459,-10.68457800244459,3.162836767208717,13.847414769653309,hcp,chcp,25
age,-0.3432357491858894,-9.29808508473047,-9.29808508473047,2.943415862603984,12.241500947334451,hcp,chcp,358
age,-0.2271016182239833,-9.461813332251168,-9.461813332251168,3.0883426957131874,12.550156027964356,hcp,chcp,221
age,-0.3816527677710102,-9.497070413698491,-9.497070413698491,2.9056093558916585,12.402679769590147,hcp,chcp,455
age,-0.4146713143441339,-9.401256701191532,-9.401256701191532,2.9072579015053948,12.308514602696926,hcp,chcp,735
age,-0.2094179814399876,-10.511251973167024,-10.511251973167024,3.1204928824966363,13.63174485566366,hcp,chcp,25
age,0.1989291529855674,-9.925889989306198,-9.925889989306198,3.379596843472117,13.305486832778314,hcp,chcp,25
age,0.1227125518472386,-10.627586659009252,-10.627586659009252,3.381377737770807,14.008964396780058,hcp,chcp,67
age,-0.2604479146098981,-10.544698364231463,-10.544698364231463,2.8424695399952284,13.387167904226692,hcp,chcp,41
age,0.1579319418135784,-10.53217326450309,-10.53217326450309,3.187739390038657,13.719912654541746,hcp,chcp,20
age,-0.3003699981981078,-8.95646414313861,-8.95646414313861,3.2604512544867887,12.2169153976254,hcp,chcp,578
age,0.3244321564366391,-11.14659483758395,-11.14659483758395,3.349157577778956,14.495752415362904,hcp,chcp,20
age,-0.0626348151852804,-9.924565178352092,-9.924565178352092,3.3327052102680472,13.25727038862014,hcp,chcp,174
age,-0.3717649769896777,-8.821581021489106,-8.821581021489106,3.175995789815978,11.997576811305084,hcp,chcp,889
age,-0.0967662943836683,-9.809214747826363,-9.809214747826363,3.346195819237374,13.155410567063738,hcp,chcp,20
age,-0.3473492313302616,-9.92424839808548,-9.92424839808548,3.0386486651120643,12.962897063197545,hcp,chcp,41
age,-0.324632636238752,-8.96742409788736,-8.96742409788736,3.056243789801485,12.023667887688845,hcp,chcp,578
age,-0.2201809162444709,-10.325606541022236,-10.325606541022236,3.1002990942656266,13.425905635287862,hcp,chcp,108
age,-0.2995011239132928,-9.44126421105682,-9.44126421105682,2.85558634929296,12.296850560349778,hcp,chcp,889
age,-0.3719528659190889,-9.254363216719948,-9.254363216719948,3.0999875101024656,12.354350726822414,hcp,chcp,735
age,-0.0803719106629694,-9.66764191602024,-9.66764191602024,3.4895225379744605,13.1571644539947,hcp,chcp,41
age,-0.4245728439373881,-9.79280645370964,-9.79280645370964,3.1478305900421475,12.940637043751789,hcp,chcp,32
age,0.1110262358611831,-10.71609730145124,-10.71609730145124,3.299827626362173,14.015924927813414,hcp,chcp,137
age,-0.0145377054756006,-10.131712828517184,-10.131712828517184,3.0468828755915296,13.178595704108714,hcp,chcp,41
age,-0.4259630510289922,-8.78658299055861,-8.78658299055861,2.9955555950687347,11.782138585627346,hcp,chcp,889
age,0.2474679965677935,-10.547759383463069,-10.547759383463069,3.2383876836502323,13.7861470671133,hcp,chcp,32
age,0.1925902790466825,-10.397666571486967,-10.397666571486967,3.3030721347250283,13.700738706211997,hcp,chcp,32
age,-0.3769697339687058,-9.738814925387071,-9.738814925387071,3.051945605859064,12.790760531246136,hcp,chcp,358
age,-0.3955505663164082,-9.10613809716351,-9.10613809716351,3.097816166245975,12.203954263409486,hcp,chcp,578
age,-0.3068406002464142,-8.687694724323256,-8.687694724323256,3.357923520674646,12.045618244997902,hcp,chcp,735
age,-0.454023296783065,-9.4999205885443,-9.4999205885443,2.8415834405190976,12.341504029063396,hcp,chcp,735
age,-0.2135219572152695,-9.015207756023171,-9.015207756023171,2.951100695941328,11.9663084519645,hcp,chcp,735
age,-0.1585319744327685,-10.500346918770369,-10.500346918770369,3.2655693249793725,13.76591624374974,hcp,chcp,20
age,-0.0462600093839332,-10.006106835470275,-10.006106835470275,3.3730295534111776,13.379136388881452,hcp,chcp,25
age,-0.2050212455014356,-9.66340202259779,-9.66340202259779,3.2429359615705704,12.90633798416836,hcp,chcp,67
age,0.0855009355797526,-10.512263944079352,-10.512263944079352,3.017395549305147,13.5296594933845,hcp,chcp,52
age,0.2531510873960759,-10.583593052378289,-10.583593052378289,3.1297891346247324,13.71338218700302,hcp,chcp,52
age,-0.3248392795485219,-9.16693905464632,-9.16693905464632,3.243026293583022,12.40996534822934,hcp,chcp,358
age,-0.2701700204640681,-9.419954551110596,-9.419954551110596,3.229716755844513,12.649671306955108,hcp,chcp,108
age,0.2467515320174341,-10.019115229115416,-10.019115229115416,3.277027787909683,13.296143017025098,hcp,chcp,25
age,-0.5341570690898878,-9.12090099394152,-9.12090099394152,3.369771652715165,12.490672646656686,hcp,chcp,108
age,-0.224383257886349,-9.787856962196004,-9.787856962196004,2.9490893915046947,12.736946353700697,hcp,chcp,137
age,-0.1942311929913318,-8.929919165985542,-8.929919165985542,2.833035379032284,11.762954545017823,hcp,chcp,889
age,0.0713426000269325,-10.26286772822135,-10.26286772822135,3.3506822806951644,13.613550008916514,hcp,chcp,32
age,-0.0236598023634838,-10.100533731610792,-10.100533731610792,3.003920166086671,13.104453897697462,hcp,chcp,67
age,-0.3736570776936786,-9.324446511168972,-9.324446511168972,3.0650140569881468,12.38946056815712,hcp,chcp,108
age,-0.4197532391820203,-9.151323379945149,-9.151323379945149,3.1647845422181526,12.3161079221633,hcp,chcp,735
age,-0.4050735436810609,-8.580407296027674,-8.580407296027674,3.128693889951983,11.709101185979655,hcp,chcp,735
age,-0.4162468216925291,-9.276640044236403,-9.276640044236403,3.633266187244661,12.909906231481068,hcp,chcp,20
age,0.0833099786378512,-10.620336466533033,-10.620336466533033,3.503594842384663,14.123931308917696,hcp,chcp,41
age,-0.3498469590066289,-9.231903843937458,-9.231903843937458,3.048882717674125,12.280786561611585,hcp,chcp,889
age,0.1958960812728685,-10.758098967548824,-10.758098967548824,3.3801874196812944,14.13828638723012,hcp,chcp,67
age,-0.3558014141295708,-9.386825319119326,-9.386825319119326,3.242418830158849,12.629244149278176,hcp,chcp,137
age,-0.4282050166987385,-9.262979051787395,-9.262979051787395,2.9661735551623862,12.229152606949784,hcp,chcp,137
age,-0.2125448163823438,-10.396948533697154,-10.396948533697154,3.1460661804044308,13.543014714101584,hcp,chcp,41
age,-0.353484286206472,-10.28841511732802,-10.28841511732802,3.072487085536443,13.360902202864462,hcp,chcp,67
age,-0.45244750378892,-8.812605514401,-8.812605514401,3.4865067388802498,12.29911225328125,hcp,chcp,174
age,-0.2519938719479054,-8.694713062594062,-8.694713062594062,3.242929454575763,11.937642517169824,hcp,chcp,735
