train_dataset,test_dataset,pheno,num_train,num_test,r_pos_rate,r_sig_ground_truth,r_ground_truth,mae_pos_rate,mae_sig_ground_truth,mae_ground_truth
hcp,chcp,age,20,20,0.2891,1.0,0.5735302336011818,0.2588,1.0,12.158932360061776
hcp,chcp,age,20,25,0.3251,1.0,0.5735302336011818,0.2961,1.0,12.158932360061776
hcp,chcp,age,20,32,0.3674,1.0,0.5735302336011818,0.3329,1.0,12.158932360061776
hcp,chcp,age,20,41,0.3992,1.0,0.5735302336011818,0.3687,1.0,12.158932360061776
hcp,chcp,age,20,52,0.4329,1.0,0.5735302336011818,0.4012,1.0,12.158932360061776
hcp,chcp,age,20,67,0.4671,1.0,0.5735302336011818,0.4417,1.0,12.158932360061776
hcp,chcp,age,20,85,0.4957,1.0,0.5735302336011818,0.4686,1.0,12.158932360061776
hcp,chcp,age,20,108,0.5185,1.0,0.5735302336011818,0.4942,1.0,12.158932360061776
hcp,chcp,age,20,137,0.5377,1.0,0.5735302336011818,0.5148,1.0,12.158932360061776
hcp,chcp,age,20,174,0.563,1.0,0.5735302336011818,0.539,1.0,12.158932360061776
hcp,chcp,age,20,221,0.5747,1.0,0.5735302336011818,0.5579,1.0,12.158932360061776
hcp,chcp,age,20,281,0.5828,1.0,0.5735302336011818,0.5728,1.0,12.158932360061776
hcp,chcp,age,20,348,0.58,1.0,0.5735302336011818,0.5787,1.0,12.158932360061776
hcp,chcp,age,25,20,0.3138,1.0,0.5735302336011818,0.2702,1.0,12.158932360061776
hcp,chcp,age,25,25,0.3581,1.0,0.5735302336011818,0.3195,1.0,12.158932360061776
hcp,chcp,age,25,32,0.4034,1.0,0.5735302336011818,0.3613,1.0,12.158932360061776
hcp,chcp,age,25,41,0.4423,1.0,0.5735302336011818,0.4014,1.0,12.158932360061776
hcp,chcp,age,25,52,0.4771,1.0,0.5735302336011818,0.4369,1.0,12.158932360061776
hcp,chcp,age,25,67,0.5133,1.0,0.5735302336011818,0.4821,1.0,12.158932360061776
hcp,chcp,age,25,85,0.5355,1.0,0.5735302336011818,0.5099,1.0,12.158932360061776
hcp,chcp,age,25,108,0.5546,1.0,0.5735302336011818,0.5324,1.0,12.158932360061776
hcp,chcp,age,25,137,0.5702,1.0,0.5735302336011818,0.5544,1.0,12.158932360061776
hcp,chcp,age,25,174,0.5875,1.0,0.5735302336011818,0.5693,1.0,12.158932360061776
hcp,chcp,age,25,221,0.6018,1.0,0.5735302336011818,0.5824,1.0,12.158932360061776
hcp,chcp,age,25,281,0.6172,1.0,0.5735302336011818,0.5978,1.0,12.158932360061776
hcp,chcp,age,25,348,0.62,1.0,0.5735302336011818,0.6147,1.0,12.158932360061776
hcp,chcp,age,32,20,0.3468,1.0,0.5735302336011818,0.3064,1.0,12.158932360061776
hcp,chcp,age,32,25,0.3967,1.0,0.5735302336011818,0.3544,1.0,12.158932360061776
hcp,chcp,age,32,32,0.4321,1.0,0.5735302336011818,0.3943,1.0,12.158932360061776
hcp,chcp,age,32,41,0.4737,1.0,0.5735302336011818,0.4366,1.0,12.158932360061776
hcp,chcp,age,32,52,0.5147,1.0,0.5735302336011818,0.4751,1.0,12.158932360061776
hcp,chcp,age,32,67,0.5497,1.0,0.5735302336011818,0.5203,1.0,12.158932360061776
hcp,chcp,age,32,85,0.572,1.0,0.5735302336011818,0.5467,1.0,12.158932360061776
hcp,chcp,age,32,108,0.5892,1.0,0.5735302336011818,0.5689,1.0,12.158932360061776
hcp,chcp,age,32,137,0.6032,1.0,0.5735302336011818,0.5856,1.0,12.158932360061776
hcp,chcp,age,32,174,0.62,1.0,0.5735302336011818,0.6021,1.0,12.158932360061776
hcp,chcp,age,32,221,0.6344,1.0,0.5735302336011818,0.6213,1.0,12.158932360061776
hcp,chcp,age,32,281,0.6502,1.0,0.5735302336011818,0.6359,1.0,12.158932360061776
hcp,chcp,age,32,348,0.66,1.0,0.5735302336011818,0.6412,1.0,12.158932360061776
hcp,chcp,age,41,20,0.3797,1.0,0.5735302336011818,0.3404,1.0,12.158932360061776
hcp,chcp,age,41,25,0.432,1.0,0.5735302336011818,0.3916,1.0,12.158932360061776
hcp,chcp,age,41,32,0.475,1.0,0.5735302336011818,0.4333,1.0,12.158932360061776
hcp,chcp,age,41,41,0.5203,1.0,0.5735302336011818,0.4847,1.0,12.158932360061776
hcp,chcp,age,41,52,0.5573,1.0,0.5735302336011818,0.5249,1.0,12.158932360061776
hcp,chcp,age,41,67,0.596,1.0,0.5735302336011818,0.5717,1.0,12.158932360061776
hcp,chcp,age,41,85,0.6219,1.0,0.5735302336011818,0.6001,1.0,12.158932360061776
hcp,chcp,age,41,108,0.6405,1.0,0.5735302336011818,0.6244,1.0,12.158932360061776
hcp,chcp,age,41,137,0.6595,1.0,0.5735302336011818,0.6444,1.0,12.158932360061776
hcp,chcp,age,41,174,0.6759,1.0,0.5735302336011818,0.6644,1.0,12.158932360061776
hcp,chcp,age,41,221,0.6916,1.0,0.5735302336011818,0.6792,1.0,12.158932360061776
hcp,chcp,age,41,281,0.7058,1.0,0.5735302336011818,0.7022,1.0,12.158932360061776
hcp,chcp,age,41,348,0.72,1.0,0.5735302336011818,0.72,1.0,12.158932360061776
hcp,chcp,age,52,20,0.3871,1.0,0.5735302336011818,0.3521,1.0,12.158932360061776
hcp,chcp,age,52,25,0.4441,1.0,0.5735302336011818,0.4022,1.0,12.158932360061776
hcp,chcp,age,52,32,0.4797,1.0,0.5735302336011818,0.4427,1.0,12.158932360061776
hcp,chcp,age,52,41,0.5198,1.0,0.5735302336011818,0.4877,1.0,12.158932360061776
hcp,chcp,age,52,52,0.5619,1.0,0.5735302336011818,0.5309,1.0,12.158932360061776
hcp,chcp,age,52,67,0.6017,1.0,0.5735302336011818,0.5762,1.0,12.158932360061776
hcp,chcp,age,52,85,0.6254,1.0,0.5735302336011818,0.605,1.0,12.158932360061776
hcp,chcp,age,52,108,0.6443,1.0,0.5735302336011818,0.6274,1.0,12.158932360061776
hcp,chcp,age,52,137,0.6613,1.0,0.5735302336011818,0.6453,1.0,12.158932360061776
hcp,chcp,age,52,174,0.6839,1.0,0.5735302336011818,0.666,1.0,12.158932360061776
hcp,chcp,age,52,221,0.7033,1.0,0.5735302336011818,0.6871,1.0,12.158932360061776
hcp,chcp,age,52,281,0.7184,1.0,0.5735302336011818,0.7067,1.0,12.158932360061776
hcp,chcp,age,52,348,0.73,1.0,0.5735302336011818,0.7214,1.0,12.158932360061776
hcp,chcp,age,67,20,0.3996,1.0,0.5735302336011818,0.3589,1.0,12.158932360061776
hcp,chcp,age,67,25,0.4539,1.0,0.5735302336011818,0.4115,1.0,12.158932360061776
hcp,chcp,age,67,32,0.4964,1.0,0.5735302336011818,0.4578,1.0,12.158932360061776
hcp,chcp,age,67,41,0.5409,1.0,0.5735302336011818,0.5054,1.0,12.158932360061776
hcp,chcp,age,67,52,0.5856,1.0,0.5735302336011818,0.5451,1.0,12.158932360061776
hcp,chcp,age,67,67,0.6319,1.0,0.5735302336011818,0.5943,1.0,12.158932360061776
hcp,chcp,age,67,85,0.6639,1.0,0.5735302336011818,0.6321,1.0,12.158932360061776
hcp,chcp,age,67,108,0.6878,1.0,0.5735302336011818,0.659,1.0,12.158932360061776
hcp,chcp,age,67,137,0.7057,1.0,0.5735302336011818,0.6796,1.0,12.158932360061776
hcp,chcp,age,67,174,0.7271,1.0,0.5735302336011818,0.7063,1.0,12.158932360061776
hcp,chcp,age,67,221,0.7428,1.0,0.5735302336011818,0.7242,1.0,12.158932360061776
hcp,chcp,age,67,281,0.7558,1.0,0.5735302336011818,0.7474,1.0,12.158932360061776
hcp,chcp,age,67,348,0.76,1.0,0.5735302336011818,0.7665,1.0,12.158932360061776
hcp,chcp,age,85,20,0.462,1.0,0.5735302336011818,0.4225,1.0,12.158932360061776
hcp,chcp,age,85,25,0.5172,1.0,0.5735302336011818,0.4788,1.0,12.158932360061776
hcp,chcp,age,85,32,0.5646,1.0,0.5735302336011818,0.5296,1.0,12.158932360061776
hcp,chcp,age,85,41,0.6163,1.0,0.5735302336011818,0.5857,1.0,12.158932360061776
hcp,chcp,age,85,52,0.6634,1.0,0.5735302336011818,0.6322,1.0,12.158932360061776
hcp,chcp,age,85,67,0.7128,1.0,0.5735302336011818,0.6857,1.0,12.158932360061776
hcp,chcp,age,85,85,0.7456,1.0,0.5735302336011818,0.7169,1.0,12.158932360061776
hcp,chcp,age,85,108,0.7713,1.0,0.5735302336011818,0.7512,1.0,12.158932360061776
hcp,chcp,age,85,137,0.7949,1.0,0.5735302336011818,0.7813,1.0,12.158932360061776
hcp,chcp,age,85,174,0.8165,1.0,0.5735302336011818,0.8029,1.0,12.158932360061776
hcp,chcp,age,85,221,0.8336,1.0,0.5735302336011818,0.8231,1.0,12.158932360061776
hcp,chcp,age,85,281,0.8468,1.0,0.5735302336011818,0.8439,1.0,12.158932360061776
hcp,chcp,age,85,348,0.86,1.0,0.5735302336011818,0.8694,1.0,12.158932360061776
hcp,chcp,age,108,20,0.5217,1.0,0.5735302336011818,0.4847,1.0,12.158932360061776
hcp,chcp,age,108,25,0.5969,1.0,0.5735302336011818,0.5541,1.0,12.158932360061776
hcp,chcp,age,108,32,0.6558,1.0,0.5735302336011818,0.6179,1.0,12.158932360061776
hcp,chcp,age,108,41,0.7142,1.0,0.5735302336011818,0.6796,1.0,12.158932360061776
hcp,chcp,age,108,52,0.7686,1.0,0.5735302336011818,0.7336,1.0,12.158932360061776
hcp,chcp,age,108,67,0.8252,1.0,0.5735302336011818,0.7959,1.0,12.158932360061776
hcp,chcp,age,108,85,0.8599,1.0,0.5735302336011818,0.8399,1.0,12.158932360061776
hcp,chcp,age,108,108,0.8829,1.0,0.5735302336011818,0.8684,1.0,12.158932360061776
hcp,chcp,age,108,137,0.9014,1.0,0.5735302336011818,0.8942,1.0,12.158932360061776
hcp,chcp,age,108,174,0.9218,1.0,0.5735302336011818,0.9185,1.0,12.158932360061776
hcp,chcp,age,108,221,0.9361,1.0,0.5735302336011818,0.9354,1.0,12.158932360061776
hcp,chcp,age,108,281,0.9451,1.0,0.5735302336011818,0.9467,1.0,12.158932360061776
hcp,chcp,age,108,348,0.95,1.0,0.5735302336011818,0.9551,1.0,12.158932360061776
hcp,chcp,age,137,20,0.5562,1.0,0.5735302336011818,0.5189,1.0,12.158932360061776
hcp,chcp,age,137,25,0.6349,1.0,0.5735302336011818,0.5976,1.0,12.158932360061776
hcp,chcp,age,137,32,0.7019,1.0,0.5735302336011818,0.6619,1.0,12.158932360061776
hcp,chcp,age,137,41,0.767,1.0,0.5735302336011818,0.7295,1.0,12.158932360061776
hcp,chcp,age,137,52,0.8203,1.0,0.5735302336011818,0.7902,1.0,12.158932360061776
hcp,chcp,age,137,67,0.871,1.0,0.5735302336011818,0.8487,1.0,12.158932360061776
hcp,chcp,age,137,85,0.9019,1.0,0.5735302336011818,0.8862,1.0,12.158932360061776
hcp,chcp,age,137,108,0.9236,1.0,0.5735302336011818,0.9123,1.0,12.158932360061776
hcp,chcp,age,137,137,0.9399,1.0,0.5735302336011818,0.9323,1.0,12.158932360061776
hcp,chcp,age,137,174,0.9556,1.0,0.5735302336011818,0.947,1.0,12.158932360061776
hcp,chcp,age,137,221,0.9695,1.0,0.5735302336011818,0.962,1.0,12.158932360061776
hcp,chcp,age,137,281,0.9792,1.0,0.5735302336011818,0.9752,1.0,12.158932360061776
hcp,chcp,age,137,348,0.98,1.0,0.5735302336011818,0.98,1.0,12.158932360061776
hcp,chcp,age,174,20,0.598,1.0,0.5735302336011818,0.5578,1.0,12.158932360061776
hcp,chcp,age,174,25,0.6825,1.0,0.5735302336011818,0.6382,1.0,12.158932360061776
hcp,chcp,age,174,32,0.753,1.0,0.5735302336011818,0.7133,1.0,12.158932360061776
hcp,chcp,age,174,41,0.8147,1.0,0.5735302336011818,0.7824,1.0,12.158932360061776
hcp,chcp,age,174,52,0.867,1.0,0.5735302336011818,0.8344,1.0,12.158932360061776
hcp,chcp,age,174,67,0.9133,1.0,0.5735302336011818,0.8931,1.0,12.158932360061776
hcp,chcp,age,174,85,0.9408,1.0,0.5735302336011818,0.9259,1.0,12.158932360061776
hcp,chcp,age,174,108,0.9575,1.0,0.5735302336011818,0.946,1.0,12.158932360061776
hcp,chcp,age,174,137,0.9701,1.0,0.5735302336011818,0.9637,1.0,12.158932360061776
hcp,chcp,age,174,174,0.9766,1.0,0.5735302336011818,0.9742,1.0,12.158932360061776
hcp,chcp,age,174,221,0.9799,1.0,0.5735302336011818,0.9797,1.0,12.158932360061776
hcp,chcp,age,174,281,0.9806,1.0,0.5735302336011818,0.9808,1.0,12.158932360061776
hcp,chcp,age,174,348,0.98,1.0,0.5735302336011818,0.98,1.0,12.158932360061776
hcp,chcp,age,221,20,0.6296,1.0,0.5735302336011818,0.5979,1.0,12.158932360061776
hcp,chcp,age,221,25,0.7175,1.0,0.5735302336011818,0.6784,1.0,12.158932360061776
hcp,chcp,age,221,32,0.7886,1.0,0.5735302336011818,0.7531,1.0,12.158932360061776
hcp,chcp,age,221,41,0.8488,1.0,0.5735302336011818,0.8206,1.0,12.158932360061776
hcp,chcp,age,221,52,0.8925,1.0,0.5735302336011818,0.8693,1.0,12.158932360061776
hcp,chcp,age,221,67,0.9347,1.0,0.5735302336011818,0.9191,1.0,12.158932360061776
hcp,chcp,age,221,85,0.9562,1.0,0.5735302336011818,0.9473,1.0,12.158932360061776
hcp,chcp,age,221,108,0.9672,1.0,0.5735302336011818,0.9606,1.0,12.158932360061776
hcp,chcp,age,221,137,0.9755,1.0,0.5735302336011818,0.9733,1.0,12.158932360061776
hcp,chcp,age,221,174,0.9793,1.0,0.5735302336011818,0.9774,1.0,12.158932360061776
hcp,chcp,age,221,221,0.9801,1.0,0.5735302336011818,0.98,1.0,12.158932360061776
hcp,chcp,age,221,281,0.9802,1.0,0.5735302336011818,0.98,1.0,12.158932360061776
hcp,chcp,age,221,348,0.98,1.0,0.5735302336011818,0.98,1.0,12.158932360061776
hcp,chcp,age,281,20,0.6771,1.0,0.5735302336011818,0.6458,1.0,12.158932360061776
hcp,chcp,age,281,25,0.7595,1.0,0.5735302336011818,0.727,1.0,12.158932360061776
hcp,chcp,age,281,32,0.8263,1.0,0.5735302336011818,0.8013,1.0,12.158932360061776
hcp,chcp,age,281,41,0.8737,1.0,0.5735302336011818,0.8587,1.0,12.158932360061776
hcp,chcp,age,281,52,0.916,1.0,0.5735302336011818,0.8989,1.0,12.158932360061776
hcp,chcp,age,281,67,0.9462,1.0,0.5735302336011818,0.9397,1.0,12.158932360061776
hcp,chcp,age,281,85,0.9628,1.0,0.5735302336011818,0.9592,1.0,12.158932360061776
hcp,chcp,age,281,108,0.9692,1.0,0.5735302336011818,0.9676,1.0,12.158932360061776
hcp,chcp,age,281,137,0.9733,1.0,0.5735302336011818,0.9734,1.0,12.158932360061776
hcp,chcp,age,281,174,0.9784,1.0,0.5735302336011818,0.9768,1.0,12.158932360061776
hcp,chcp,age,281,221,0.9833,1.0,0.5735302336011818,0.9803,1.0,12.158932360061776
hcp,chcp,age,281,281,0.9886,1.0,0.5735302336011818,0.9842,1.0,12.158932360061776
hcp,chcp,age,281,348,0.99,1.0,0.5735302336011818,0.9846,1.0,12.158932360061776
hcp,chcp,age,358,20,0.7107,1.0,0.5735302336011818,0.6754,1.0,12.158932360061776
hcp,chcp,age,358,25,0.7953,1.0,0.5735302336011818,0.7614,1.0,12.158932360061776
hcp,chcp,age,358,32,0.8596,1.0,0.5735302336011818,0.8345,1.0,12.158932360061776
hcp,chcp,age,358,41,0.909,1.0,0.5735302336011818,0.8953,1.0,12.158932360061776
hcp,chcp,age,358,52,0.9475,1.0,0.5735302336011818,0.9321,1.0,12.158932360061776
hcp,chcp,age,358,67,0.9757,1.0,0.5735302336011818,0.9677,1.0,12.158932360061776
hcp,chcp,age,358,85,0.9905,1.0,0.5735302336011818,0.9876,1.0,12.158932360061776
hcp,chcp,age,358,108,0.9951,1.0,0.5735302336011818,0.9931,1.0,12.158932360061776
hcp,chcp,age,358,137,0.999,1.0,0.5735302336011818,0.9983,1.0,12.158932360061776
hcp,chcp,age,358,174,0.9999,1.0,0.5735302336011818,0.9995,1.0,12.158932360061776
hcp,chcp,age,358,221,1.0,1.0,0.5735302336011818,1.0,1.0,12.158932360061776
hcp,chcp,age,358,281,1.0,1.0,0.5735302336011818,1.0,1.0,12.158932360061776
hcp,chcp,age,358,348,1.0,1.0,0.5735302336011818,1.0,1.0,12.158932360061776
hcp,chcp,age,455,20,0.7414,1.0,0.5735302336011818,0.7143,1.0,12.158932360061776
hcp,chcp,age,455,25,0.8324,1.0,0.5735302336011818,0.801,1.0,12.158932360061776
hcp,chcp,age,455,32,0.8998,1.0,0.5735302336011818,0.877,1.0,12.158932360061776
hcp,chcp,age,455,41,0.9465,1.0,0.5735302336011818,0.929,1.0,12.158932360061776
hcp,chcp,age,455,52,0.9746,1.0,0.5735302336011818,0.9604,1.0,12.158932360061776
hcp,chcp,age,455,67,0.9917,1.0,0.5735302336011818,0.9858,1.0,12.158932360061776
hcp,chcp,age,455,85,0.9979,1.0,0.5735302336011818,0.9965,1.0,12.158932360061776
hcp,chcp,age,455,108,0.9994,1.0,0.5735302336011818,0.9995,1.0,12.158932360061776
hcp,chcp,age,455,137,1.0,1.0,0.5735302336011818,0.9998,1.0,12.158932360061776
hcp,chcp,age,455,174,1.0,1.0,0.5735302336011818,1.0,1.0,12.158932360061776
hcp,chcp,age,455,221,1.0,1.0,0.5735302336011818,1.0,1.0,12.158932360061776
hcp,chcp,age,455,281,1.0,1.0,0.5735302336011818,1.0,1.0,12.158932360061776
hcp,chcp,age,455,348,1.0,1.0,0.5735302336011818,1.0,1.0,12.158932360061776
hcp,chcp,age,578,20,0.7887,1.0,0.5735302336011818,0.7693,1.0,12.158932360061776
hcp,chcp,age,578,25,0.8649,1.0,0.5735302336011818,0.8472,1.0,12.158932360061776
hcp,chcp,age,578,32,0.9262,1.0,0.5735302336011818,0.9108,1.0,12.158932360061776
hcp,chcp,age,578,41,0.9638,1.0,0.5735302336011818,0.9547,1.0,12.158932360061776
hcp,chcp,age,578,52,0.9878,1.0,0.5735302336011818,0.9772,1.0,12.158932360061776
hcp,chcp,age,578,67,0.9967,1.0,0.5735302336011818,0.9932,1.0,12.158932360061776
hcp,chcp,age,578,85,0.9993,1.0,0.5735302336011818,0.9993,1.0,12.158932360061776
hcp,chcp,age,578,108,1.0,1.0,0.5735302336011818,0.9998,1.0,12.158932360061776
hcp,chcp,age,578,137,1.0,1.0,0.5735302336011818,1.0,1.0,12.158932360061776
hcp,chcp,age,578,174,1.0,1.0,0.5735302336011818,1.0,1.0,12.158932360061776
hcp,chcp,age,578,221,1.0,1.0,0.5735302336011818,1.0,1.0,12.158932360061776
hcp,chcp,age,578,281,1.0,1.0,0.5735302336011818,1.0,1.0,12.158932360061776
hcp,chcp,age,578,348,1.0,1.0,0.5735302336011818,1.0,1.0,12.158932360061776
hcp,chcp,age,735,20,0.826,1.0,0.5735302336011818,0.8084,1.0,12.158932360061776
hcp,chcp,age,735,25,0.8997,1.0,0.5735302336011818,0.8818,1.0,12.158932360061776
hcp,chcp,age,735,32,0.9517,1.0,0.5735302336011818,0.9406,1.0,12.158932360061776
hcp,chcp,age,735,41,0.9793,1.0,0.5735302336011818,0.9753,1.0,12.158932360061776
