pheno,r_internal_external_diff,mae_internal_external_diff,mae_internal_external_diff,mae_internal,mae_external,train_dataset,test_dataset,num_train
age,0.0544678756013291,-10.261344817127474,-10.261344817127474,3.032933126217275,13.294277943344747,hcp_sc,chcp_sc,108
age,0.0430586944661939,-10.187297511239052,-10.187297511239052,3.04507978637571,13.232377297614764,hcp_sc,chcp_sc,455
age,0.0319976892646346,-10.260625810595272,-10.260625810595272,3.091613398697986,13.352239209293256,hcp_sc,chcp_sc,578
age,0.0876918924732064,-10.602890135233626,-10.602890135233626,2.870709143253805,13.47359927848743,hcp_sc,chcp_sc,221
age,0.0016461575688957,-10.435206542564291,-10.435206542564291,2.938216985994847,13.37342352855914,hcp_sc,chcp_sc,221
age,-0.1239831427501528,-10.1584504435323,-10.1584504435323,3.1233035194193044,13.281753962951605,hcp_sc,chcp_sc,281
age,-0.0041021002992001,-10.508345649814252,-10.508345649814252,3.298883376107228,13.80722902592148,hcp_sc,chcp_sc,32
age,-0.0668652633570861,-10.282540785830305,-10.282540785830305,2.8471827506667995,13.129723536497105,hcp_sc,chcp_sc,455
age,-0.0011956304105587,-10.839762311089611,-10.839762311089611,3.2048066398142763,14.044568950903887,hcp_sc,chcp_sc,20
age,0.2288706770253828,-10.07013901767637,-10.07013901767637,3.326928412641331,13.3970674303177,hcp_sc,chcp_sc,52
age,-0.0546506893364922,-10.063632199014704,-10.063632199014704,3.0158579788239828,13.079490177838688,hcp_sc,chcp_sc,735
age,0.207127727454693,-11.066166052141192,-11.066166052141192,2.897339472385098,13.96350552452629,hcp_sc,chcp_sc,41
age,0.0733093473696971,-10.06587165214013,-10.06587165214013,3.0729628196504577,13.138834471790588,hcp_sc,chcp_sc,174
age,-0.0286758982531538,-9.845914276340965,-9.845914276340965,3.2813920707265427,13.127306347067506,hcp_sc,chcp_sc,137
age,0.014836745244509,-10.376913588165973,-10.376913588165973,3.0770467378809543,13.453960326046928,hcp_sc,chcp_sc,578
age,-0.0499928712039587,-10.178007252712874,-10.178007252712874,2.954547905448584,13.132555158161455,hcp_sc,chcp_sc,735
age,0.0214652343030276,-9.960236201787811,-9.960236201787811,3.4983597643387894,13.4585959661266,hcp_sc,chcp_sc,25
age,-0.058291125174179,-10.16301833048075,-10.16301833048075,2.936696498749769,13.09971482923052,hcp_sc,chcp_sc,865
age,-0.0615099466159695,-9.984316023898511,-9.984316023898511,3.191901718502393,13.176217742400905,hcp_sc,chcp_sc,865
age,-0.0506325842884995,-10.162363142195192,-10.162363142195192,3.240324470373739,13.402687612568933,hcp_sc,chcp_sc,221
age,0.0715582389149065,-10.450483705738703,-10.450483705738703,3.097134874333612,13.547618580072315,hcp_sc,chcp_sc,221
age,-0.2368348887530613,-9.34910617293115,-9.34910617293115,3.4287596518729893,12.777865824804138,hcp_sc,chcp_sc,85
age,0.0323259318363848,-10.286643039113514,-10.286643039113514,3.144403025033608,13.431046064147122,hcp_sc,chcp_sc,174
age,-0.0704518434246711,-10.11864882460316,-10.11864882460316,3.255792805298188,13.374441629901348,hcp_sc,chcp_sc,52
age,-0.1231578570601988,-10.698785941229628,-10.698785941229628,3.0135773742320926,13.71236331546172,hcp_sc,chcp_sc,52
age,-0.1374166886675068,-10.909236865363551,-10.909236865363551,3.073671306304456,13.98290817166801,hcp_sc,chcp_sc,32
age,0.0275866853798413,-10.195337449887486,-10.195337449887486,2.986023496614956,13.181360946502442,hcp_sc,chcp_sc,174
age,0.1203236163827731,-10.067989557216896,-10.067989557216896,2.9301596653186954,12.998149222535591,hcp_sc,chcp_sc,735
age,0.0883316396745544,-10.32456593455462,-10.32456593455462,3.1750904176973185,13.499656352251938,hcp_sc,chcp_sc,52
age,-0.0110119023084437,-10.416008947498607,-10.416008947498607,2.7470737073886,13.163082654887209,hcp_sc,chcp_sc,865
age,0.0291120671521279,-10.232465949276854,-10.232465949276854,3.0380568501074072,13.270522799384262,hcp_sc,chcp_sc,865
age,-0.0216051372341878,-9.729324687874856,-9.729324687874856,3.632012182258903,13.361336870133758,hcp_sc,chcp_sc,20
age,-0.0015538219666638,-10.256159939359478,-10.256159939359478,3.2405923069166507,13.496752246276127,hcp_sc,chcp_sc,67
age,0.0715684147748398,-9.89146322437368,-9.89146322437368,3.179991238209457,13.071454462583135,hcp_sc,chcp_sc,137
age,0.0250413875524837,-10.466041773540422,-10.466041773540422,3.705696161255628,14.17173793479605,hcp_sc,chcp_sc,41
age,0.0951741116817888,-10.33840386047532,-10.33840386047532,2.963943275477764,13.302347135953084,hcp_sc,chcp_sc,85
age,-0.0785381490731655,-10.092121611994523,-10.092121611994523,3.1442081079715845,13.236329719966108,hcp_sc,chcp_sc,578
age,0.0673113176751954,-10.28195450934471,-10.28195450934471,3.0157545082904846,13.297709017635194,hcp_sc,chcp_sc,358
age,-0.1694408502606669,-9.76050184383236,-9.76050184383236,3.2638427428778023,13.024344586710162,hcp_sc,chcp_sc,221
age,0.0779927795718447,-10.13178735668386,-10.13178735668386,3.178293109904199,13.31008046658806,hcp_sc,chcp_sc,85
age,0.0466517193920165,-10.918567605391289,-10.918567605391289,3.4334202277522747,14.351987833143562,hcp_sc,chcp_sc,25
age,0.1341511579547109,-10.43260270748666,-10.43260270748666,3.105495217251113,13.538097924737771,hcp_sc,chcp_sc,358
age,-0.095895764243129,-9.935852856801857,-9.935852856801857,3.163011431152651,13.098864287954504,hcp_sc,chcp_sc,578
age,0.0193550265215147,-10.170159999951537,-10.170159999951537,2.9516483189377944,13.12180831888933,hcp_sc,chcp_sc,735
age,-0.0432505164804419,-10.083953991086709,-10.083953991086709,2.9658897868749574,13.049843777961664,hcp_sc,chcp_sc,865
age,0.0556606066669627,-10.05899507516416,-10.05899507516416,3.060370907633226,13.119365982797383,hcp_sc,chcp_sc,221
age,-0.1701188957794726,-10.580657851854449,-10.580657851854449,3.282918082280988,13.863575934135437,hcp_sc,chcp_sc,32
age,-0.081237831648454,-9.497483225279703,-9.497483225279703,3.649560132233798,13.147043357513503,hcp_sc,chcp_sc,41
age,0.0640748313094992,-10.418718714043392,-10.418718714043392,2.9275728428452266,13.34629155688862,hcp_sc,chcp_sc,85
age,0.1175131330654695,-11.04015342398677,-11.04015342398677,3.2952730850768988,14.335426509063668,hcp_sc,chcp_sc,41
age,0.2143814316888564,-10.308174436329567,-10.308174436329567,3.216215078481488,13.524389514811055,hcp_sc,chcp_sc,108
age,0.0519620660740288,-10.428241885634463,-10.428241885634463,3.0813111720099755,13.50955305764444,hcp_sc,chcp_sc,32
age,-0.1215584862870546,-9.97842071391366,-9.97842071391366,3.1708622186851483,13.149282932598808,hcp_sc,chcp_sc,455
age,0.1179904598622931,-10.591219630985496,-10.591219630985496,3.1960687769730067,13.787288407958505,hcp_sc,chcp_sc,20
age,0.0962049774965755,-10.662370817491269,-10.662370817491269,3.229015137122432,13.891385954613698,hcp_sc,chcp_sc,85
age,0.0483782132398095,-10.348222106676742,-10.348222106676742,3.0558582073824105,13.404080314059152,hcp_sc,chcp_sc,137
age,0.2153496581391081,-10.48389586406241,-10.48389586406241,3.158294714100798,13.642190578163207,hcp_sc,chcp_sc,67
age,-0.0035884514996278,-10.190326131196846,-10.190326131196846,3.13394171922262,13.324267850419464,hcp_sc,chcp_sc,85
age,0.0504733618423231,-10.04042331321855,-10.04042331321855,3.162820255751038,13.203243568969588,hcp_sc,chcp_sc,358
age,0.100771218524713,-10.332636435463415,-10.332636435463415,3.0429616147471523,13.375598050210568,hcp_sc,chcp_sc,137
age,0.0474032731019965,-10.16280432151764,-10.16280432151764,3.274528907996718,13.437333229514357,hcp_sc,chcp_sc,32
age,-0.0933109905058632,-11.426660079346618,-11.426660079346618,3.3238800997798683,14.750540179126489,hcp_sc,chcp_sc,20
age,-0.0497878451583737,-9.8347996753864,-9.8347996753864,3.149790042172273,12.984589717558674,hcp_sc,chcp_sc,281
age,0.0099499558424599,-10.022966995325442,-10.022966995325442,2.8450884779441865,12.868055473269628,hcp_sc,chcp_sc,67
age,-0.3851945058563877,-10.233708930658237,-10.233708930658237,3.320071679682005,13.553780610340242,hcp_sc,chcp_sc,108
age,0.2374712193093458,-10.595633908363432,-10.595633908363432,2.771660445059313,13.367294353422745,hcp_sc,chcp_sc,455
age,0.0824190702757012,-10.230000945735048,-10.230000945735048,3.244786349534446,13.474787295269492,hcp_sc,chcp_sc,41
age,0.1835490660815617,-10.448240521379583,-10.448240521379583,3.209386003342052,13.657626524721636,hcp_sc,chcp_sc,85
age,0.1937225008050699,-10.404005443185332,-10.404005443185332,3.038176024591214,13.442181467776546,hcp_sc,chcp_sc,281
age,0.0209782612057223,-10.633191812776603,-10.633191812776603,2.8524409351171243,13.485632747893728,hcp_sc,chcp_sc,281
age,0.0647209584588172,-10.743238863164866,-10.743238863164866,2.793722262963794,13.53696112612866,hcp_sc,chcp_sc,455
age,0.1229602401133343,-10.084791377057464,-10.084791377057464,3.043395690705178,13.12818706776264,hcp_sc,chcp_sc,174
age,0.0189895304021799,-9.937800413369128,-9.937800413369128,3.0802614552548246,13.01806186862395,hcp_sc,chcp_sc,578
age,0.0086697002383349,-10.051297472353262,-10.051297472353262,3.161814513832825,13.213111986186089,hcp_sc,chcp_sc,85
age,0.0190748287631874,-10.019410299403363,-10.019410299403363,2.948907553718484,12.96831785312185,hcp_sc,chcp_sc,52
age,0.1034745531168242,-10.46405934985974,-10.46405934985974,3.212063698300158,13.676123048159898,hcp_sc,chcp_sc,67
age,0.2609397218023935,-11.269170464735668,-11.269170464735668,2.893269219656999,14.162439684392666,hcp_sc,chcp_sc,52
age,0.1517057708041011,-10.071502548401057,-10.071502548401057,3.2849170480521805,13.356419596453238,hcp_sc,chcp_sc,67
age,0.1432394853727053,-10.452755103616688,-10.452755103616688,3.5494605270161608,14.002215630632849,hcp_sc,chcp_sc,25
age,-0.0386503011690796,-10.067040966224091,-10.067040966224091,3.2192528597626824,13.286293825986773,hcp_sc,chcp_sc,281
age,0.0330779451286304,-10.896512024586574,-10.896512024586574,3.0365521429321363,13.93306416751871,hcp_sc,chcp_sc,32
age,0.1180158091598093,-10.281817957831358,-10.281817957831358,3.188360558123001,13.47017851595436,hcp_sc,chcp_sc,85
