train_dataset,test_dataset,pheno,num_train,num_test,r_pos_rate,r_sig_ground_truth,r_ground_truth,mae_pos_rate,mae_sig_ground_truth,mae_ground_truth
hcp_sc,chcp_sc,age,20,20,0.0657,1.0,0.2669275522988148,0.0623,1.0,13.12512188700058
hcp_sc,chcp_sc,age,20,25,0.0772,1.0,0.2669275522988148,0.0701,1.0,13.12512188700058
hcp_sc,chcp_sc,age,20,32,0.0815,1.0,0.2669275522988148,0.0683,1.0,13.12512188700058
hcp_sc,chcp_sc,age,20,41,0.0926,1.0,0.2669275522988148,0.0775,1.0,13.12512188700058
hcp_sc,chcp_sc,age,20,52,0.1101,1.0,0.2669275522988148,0.0874,1.0,13.12512188700058
hcp_sc,chcp_sc,age,20,67,0.1228,1.0,0.2669275522988148,0.0981,1.0,13.12512188700058
hcp_sc,chcp_sc,age,20,85,0.1403,1.0,0.2669275522988148,0.1149,1.0,13.12512188700058
hcp_sc,chcp_sc,age,20,108,0.1553,1.0,0.2669275522988148,0.1298,1.0,13.12512188700058
hcp_sc,chcp_sc,age,20,137,0.1608,1.0,0.2669275522988148,0.1289,1.0,13.12512188700058
hcp_sc,chcp_sc,age,20,174,0.165,1.0,0.2669275522988148,0.1363,1.0,13.12512188700058
hcp_sc,chcp_sc,age,20,221,0.1909,1.0,0.2669275522988148,0.1541,1.0,13.12512188700058
hcp_sc,chcp_sc,age,20,281,0.207,1.0,0.2669275522988148,0.1771,1.0,13.12512188700058
hcp_sc,chcp_sc,age,20,312,0.19,1.0,0.2669275522988148,0.1771,1.0,13.12512188700058
hcp_sc,chcp_sc,age,25,20,0.0661,1.0,0.2669275522988148,0.0621,1.0,13.12512188700058
hcp_sc,chcp_sc,age,25,25,0.0788,1.0,0.2669275522988148,0.0716,1.0,13.12512188700058
hcp_sc,chcp_sc,age,25,32,0.0812,1.0,0.2669275522988148,0.076,1.0,13.12512188700058
hcp_sc,chcp_sc,age,25,41,0.0962,1.0,0.2669275522988148,0.0807,1.0,13.12512188700058
hcp_sc,chcp_sc,age,25,52,0.1133,1.0,0.2669275522988148,0.0935,1.0,13.12512188700058
hcp_sc,chcp_sc,age,25,67,0.1252,1.0,0.2669275522988148,0.1044,1.0,13.12512188700058
hcp_sc,chcp_sc,age,25,85,0.1438,1.0,0.2669275522988148,0.1226,1.0,13.12512188700058
hcp_sc,chcp_sc,age,25,108,0.1629,1.0,0.2669275522988148,0.1354,1.0,13.12512188700058
hcp_sc,chcp_sc,age,25,137,0.1728,1.0,0.2669275522988148,0.1402,1.0,13.12512188700058
hcp_sc,chcp_sc,age,25,174,0.1832,1.0,0.2669275522988148,0.1454,1.0,13.12512188700058
hcp_sc,chcp_sc,age,25,221,0.2102,1.0,0.2669275522988148,0.1562,1.0,13.12512188700058
