train_dataset,test_dataset,pheno,r_gt,r_sig_ground_truth,num_test_gt,p_gt
abcd_1_scans,hbn,ad,-0.0166651749965264,0.0,1150,0.7138162471251748
abcd_1_scans,hbn,age,0.3701533594968107,1.0,1201,1.3340618076008543e-40
abcd_1_scans,hbn,ap,-0.0253753533195031,0.0,1150,0.8050290445505612
abcd_1_scans,hbn,bmi,0.2300730534649559,1.0,1122,3.02487034544901e-15
abcd_1_scans,hbn,mr,0.3835013958870318,1.0,1024,1.606068181686954e-37
abcd_1_scans,hbn,wm,0.3146536441397594,1.0,1135,8.35905341139909e-28
abcd_1_scans,hcpd,ad,0.1062901836329266,1.0,457,0.011529900036742535
abcd_1_scans,hcpd,age,0.4970170729307768,1.0,599,5.407745165364319e-39
abcd_1_scans,hcpd,ap,0.0046306516836303,0.0,457,0.4606797193501988
abcd_1_scans,hcpd,bmi,0.3716934427368354,1.0,598,2.49023651781391e-21
abcd_1_scans,hcpd,mr,0.4381953769126342,1.0,419,2.1788274362452777e-21
abcd_1_scans,hcpd,wm,0.3356887792623352,1.0,433,3.634782528129038e-13
abcd_1_scans,pnc,ad,-0.0369271974507444,0.0,1059,0.8850633930500059
abcd_1_scans,pnc,age,0.2270524413314432,1.0,1179,1.4962804835972985e-15
abcd_1_scans,pnc,ap,0.0589331585025527,1.0,1160,0.0223870053020612
abcd_1_scans,pnc,bmi,0.0967606114748264,1.0,826,0.002690926979500403
abcd_1_scans,pnc,mr,0.2952498052891438,1.0,1172,2.6311787372973207e-25
abcd_1_scans,pnc,wm,0.2759688610405666,1.0,1164,4.315020290525527e-22
abcd_2_scans,hbn,ad,0.0138753104978347,0.0,1150,0.319161222306522
abcd_2_scans,hbn,age,0.4084241683781231,1.0,1201,8.599512193127742e-50
abcd_2_scans,hbn,ap,-0.0090392312459884,0.0,1150,0.6202769139028013
abcd_2_scans,hbn,bmi,0.2176266001019695,1.0,1122,8.527491121574888e-14
abcd_2_scans,hbn,mr,0.350958236320157,1.0,1024,2.383405288354308e-31
abcd_2_scans,hbn,wm,0.3290598796792812,1.0,1135,2.2785898263721365e-30
abcd_2_scans,hcpd,ad,0.0764919395766358,0.0,457,0.05122125261871919
abcd_2_scans,hcpd,age,0.5064741942452986,1.0,599,1.2041166041266418e-40
abcd_2_scans,hcpd,ap,0.0363067080219613,0.0,457,0.21938307232363652
abcd_2_scans,hcpd,bmi,0.3773229711218584,1.0,598,5.690032209289781e-22
abcd_2_scans,hcpd,mr,0.4465986499028599,1.0,419,3.1120956695228396e-22
abcd_2_scans,hcpd,wm,0.3266254372735503,1.0,433,1.5956014560962335e-12
abcd_2_scans,pnc,ad,0.019025963307672,0.0,1059,0.26813179693448397
abcd_2_scans,pnc,age,0.2314618705956078,1.0,1179,4.1832082878387054e-16
abcd_2_scans,pnc,ap,0.0583770132856263,1.0,1160,0.023416840023959943
abcd_2_scans,pnc,bmi,0.1275991927813862,1.0,826,0.00011812899607530888
abcd_2_scans,pnc,mr,0.2929083931245756,1.0,1172,6.405313956824827e-25
abcd_2_scans,pnc,wm,0.2490117129736418,1.0,1164,3.2698885216775765e-18
abcd_3_scans,hbn,ad,0.0021246068863828,0.0,1150,0.4713126314214906
abcd_3_scans,hbn,age,0.4055458129294023,1.0,1201,4.662382547765667e-49
abcd_3_scans,hbn,ap,-0.0166642718082112,0.0,1150,0.7138058372371183
abcd_3_scans,hbn,bmi,0.222395565682364,1.0,1122,2.4289010783354282e-14
abcd_3_scans,hbn,mr,0.3761174557541384,1.0,1024,4.663681372311455e-36
abcd_3_scans,hbn,wm,0.3143740490328077,1.0,1135,9.344504780770833e-28
