train_dataset,test_dataset,pheno,r_gt,r_sig_ground_truth,num_test_gt,p_gt
abcd,hbn,ad,-0.003772902762327,0.0,1150,0.5508490150070926
abcd,hbn,age,0.4810596765307293,1.0,1201,7.065759877268288e-71
abcd,hbn,ap,-0.030547033473703,0.0,1150,0.8496691158371421
abcd,hbn,bmi,0.2343893794778541,1.0,1122,9.068082441436672e-16
abcd,hbn,mr,0.2457385525615805,1.0,1024,7.517678204949807e-16
abcd,hbn,mr_scaled,0.0915457446178984,1.0,1024,0.0016836925265256515
abcd,hbn,wm,0.1452276212701698,1.0,1135,4.4763687922823606e-07
abcd,hbn,wm_corrected,0.0954077413174077,1.0,1135,0.0006452915462030394
abcd,hcpd,ad,0.1155298616811041,1.0,457,0.006731848580346159
abcd,hcpd,age,0.6132068400229351,1.0,599,1.9135415812407384e-63
abcd,hcpd,ap,0.0381164984743932,0.0,457,0.208137258792417
abcd,hcpd,bmi,0.3914714566941329,1.0,598,1.2233383705367616e-23
abcd,hcpd,mr,0.3290064393555422,1.0,419,2.4626008313455817e-12
abcd,hcpd,mr_scaled,0.145219637467282,1.0,419,0.0014435916311796976
abcd,hcpd,wm,0.1274337874965762,1.0,433,0.003966689045270276
abcd,hcpd,wm_corrected,0.1735537103926889,1.0,433,0.00014250742209246094
abcd,pnc,ad,-0.0882315952619353,0.0,1059,0.9979700639945369
abcd,pnc,age,0.3222979162673094,1.0,1179,3.3319425776146165e-30
abcd,pnc,ap,0.0961631989776499,1.0,1160,0.0005203768595090999
abcd,pnc,bmi,0.0853822833376106,1.0,826,0.00705064280665882
abcd,pnc,mr,0.266087423685716,1.0,1172,9.553449913094283e-21
abcd,pnc,wm,0.2108846476924918,1.0,1164,1.8106267372290787e-13
hbn,abcd,ad,0.0065018589480777,0.0,7993,0.2805512527475469
hbn,abcd,age,0.1392550057560559,1.0,7996,3.2383039246255266e-36
hbn,abcd,ap,0.0299278398959034,1.0,7993,0.003727145851113821
hbn,abcd,bmi,0.3380316001475274,1.0,7956,3.529835065079822e-212
hbn,abcd,mr,-0.0242806386612187,0.0,7846,0.9842499096780479
hbn,abcd,mr_scaled,0.1234170081505247,1.0,7842,2.6808284171091896e-28
hbn,abcd,wm,-0.0032980371338525,0.0,7884,0.6151599323437584
hbn,abcd,wm_corrected,0.0775737820438942,1.0,7884,2.6514003094107623e-12
hbn,hcpd,ad,0.0575562613862262,0.0,457,0.10971206162407686
hbn,hcpd,age,0.713837085127042,1.0,599,9.94119670902476e-95
hbn,hcpd,ap,0.0410448231864774,0.0,457,0.19067705589925515
hbn,hcpd,bmi,0.4654344519191382,1.0,598,8.809122519425993e-34
hbn,hcpd,mr,0.278547175069547,1.0,419,3.3183901042260726e-09
hbn,hcpd,mr_scaled,0.2024721192552636,1.0,419,1.4870233998694956e-05
hbn,hcpd,wm,0.2190164798882592,1.0,433,2.110093298413696e-06
hbn,hcpd,wm_corrected,0.1122062222008957,1.0,433,0.009758903080893389
hbn,pnc,ad,0.0245929181908772,0.0,1059,0.21200450920713076
hbn,pnc,age,0.4880342360140252,1.0,1179,7.027417385133212e-72
hbn,pnc,ap,0.0118658591873191,0.0,1160,0.3432111151875235
hbn,pnc,bmi,0.2191642543602233,1.0,826,9.647405269583168e-11
hbn,pnc,mr,0.2216970888690325,1.0,1172,8.122742053839363e-15
hbn,pnc,wm,0.1955710096116391,1.0,1164,8.46527328237769e-12
hcpd,abcd,ad,0.0342966127119028,1.0,7993,0.0010823155770355469
hcpd,abcd,age,0.09886227839277,1.0,7996,3.9781521060057054e-19
hcpd,abcd,ap,0.0159545585034419,0.0,7993,0.07689631800676823
hcpd,abcd,bmi,0.2919119975401054,1.0,7956,2.2650258344441976e-156
hcpd,abcd,mr,0.0528720016877558,1.0,7846,1.394281829148192e-06
hcpd,abcd,mr_scaled,0.1296082421870584,1.0,7842,4.977395708639827e-31
hcpd,abcd,wm,0.0060095556280114,0.0,7884,0.2968368279516489
hcpd,abcd,wm_corrected,0.0815012806553229,1.0,7884,2.1216641315945964e-13
hcpd,hbn,ad,0.0492889808152782,1.0,1150,0.04739359567090108
hcpd,hbn,age,0.5778024037894801,1.0,1201,3.3740355020531392e-108
hcpd,hbn,ap,0.0114162382252884,0.0,1150,0.34947617978934686
hcpd,hbn,bmi,0.320371815018567,1.0,1122,1.6947275041277911e-28
hcpd,hbn,mr,0.2531773697017018,1.0,1024,9.665046099225135e-17
hcpd,hbn,mr_scaled,0.0953951210389711,1.0,1024,0.0011219796537214226
hcpd,hbn,wm,0.1257366391241524,1.0,1135,1.0772830048189702e-05
hcpd,hbn,wm_corrected,0.0782677380064972,1.0,1135,0.0041702790930055415
hcpd,pnc,ad,-0.0133629385765872,0.0,1059,0.6679887724251528
hcpd,pnc,age,0.4502126685669856,1.0,1179,3.294008303917939e-60
hcpd,pnc,ap,0.0489312602726907,1.0,1160,0.04788262864501971
hcpd,pnc,bmi,0.1695072745257073,1.0,826,4.796776509972093e-07
hcpd,pnc,mr,0.1556786996070135,1.0,1172,4.2405218447340266e-08
hcpd,pnc,wm,0.0340927541564145,0.0,1164,0.12256782020011431
pnc,abcd,ad,0.022932297998124,1.0,7993,0.02017350966741752
pnc,abcd,age,0.0922742325618103,1.0,7996,6.837145772065005e-17
pnc,abcd,ap,0.0563671389008907,1.0,7993,2.2957026956407363e-07
pnc,abcd,bmi,0.1914423230325257,1.0,7956,7.520084238477744e-67
pnc,abcd,mr,0.0681448321875289,1.0,7846,7.602686845738789e-10
pnc,abcd,wm,0.0291473896896223,1.0,7884,0.00482406834460703
pnc,hbn,ad,0.0488407874766361,1.0,1150,0.04891576478520688
pnc,hbn,age,0.537580063097906,1.0,1201,3.3784538462362573e-91
pnc,hbn,ap,-0.0096679654722718,0.0,1150,0.6283580664330738
pnc,hbn,bmi,0.3248475897650764,1.0,1122,2.74940613180462e-29
pnc,hbn,mr,0.2464427522467647,1.0,1024,6.208721344434423e-16
pnc,hbn,wm,0.2249101453685999,1.0,1135,8.785533146356464e-15
pnc,hcpd,ad,-0.0105880424117445,0.0,457,0.5892954283694714
pnc,hcpd,age,0.6433688761213565,1.0,599,1.3728366628588872e-71
pnc,hcpd,ap,0.0263654462116211,0.0,457,0.2869956707256185
pnc,hcpd,bmi,0.4310165417358815,1.0,598,9.490381967121813e-29
pnc,hcpd,mr,0.2894544433779425,1.0,419,7.850387802798948e-10
pnc,hcpd,wm,0.2077864992197567,1.0,433,6.535188071814618e-06
