dataset,pheno,n,n_heldout,n_train,percent_heldout
abcd,age,7996,1600,6396,0.2001000500250125
hbn,age,1201,200,1001,0.16652789342214822
hcpd,age,599,100,499,0.1669449081803005
pnc,age,1179,200,979,0.16963528413910092
abcd,mr,7846,1600,6246,0.20392556716798368
hbn,mr,1024,200,824,0.1953125
hcpd,mr,419,100,319,0.2386634844868735
pnc,mr,1172,200,972,0.17064846416382254
abcd,mr_scaled,7842,1600,6242,0.204029584289722
hbn,mr_scaled,1024,200,824,0.1953125
hcpd,mr_scaled,419,100,319,0.2386634844868735
abcd,ap,7993,1600,6393,0.2001751532591017
hbn,ap,1150,200,950,0.17391304347826086
hcpd,ap,457,100,357,0.2188183807439825
pnc,ap,1160,200,960,0.1724137931034483
abcd,bmi,7956,1600,6356,0.20110608345902464
hbn,bmi,1122,200,922,0.17825311942959002
hcpd,bmi,598,100,498,0.16722408026755853
pnc,bmi,826,200,626,0.24213075060532688
abcd,wm,7884,1600,6284,0.20294266869609334
hbn,wm,1135,200,935,0.1762114537444934
hcpd,wm,433,100,333,0.23094688221709006
pnc,wm,1164,200,964,0.1718213058419244
abcd,wm_corrected,7884,1600,6284,0.20294266869609334
hbn,wm_corrected,1135,200,935,0.1762114537444934
hcpd,wm_corrected,433,100,333,0.23094688221709006
abcd,ad,7993,1600,6393,0.2001751532591017
hbn,ad,1150,200,950,0.17391304347826086
hcpd,ad,457,100,357,0.2188183807439825
pnc,ad,1059,200,859,0.18885741265344666
