train_dataset,test_dataset,pheno,num_train,num_test,r_pos_rate,r_sig_ground_truth,r_ground_truth,mae_pos_rate,mae_sig_ground_truth,mae_ground_truth
abcd,hbn,age,20,20,0.1248,1.0,0.4810596765307293,0.082,1.0,34.615651804755345
abcd,hbn,age,20,25,0.1496,1.0,0.4810596765307293,0.0927,1.0,34.615651804755345
abcd,hbn,age,20,32,0.1815,1.0,0.4810596765307293,0.1112,1.0,34.615651804755345
abcd,hbn,age,20,41,0.2172,1.0,0.4810596765307293,0.1351,1.0,34.615651804755345
abcd,hbn,age,20,52,0.2479,1.0,0.4810596765307293,0.1458,1.0,34.615651804755345
abcd,hbn,age,20,67,0.2776,1.0,0.4810596765307293,0.1689,1.0,34.615651804755345
abcd,hbn,age,20,85,0.3115,1.0,0.4810596765307293,0.1994,1.0,34.615651804755345
abcd,hbn,age,20,108,0.3545,1.0,0.4810596765307293,0.2313,1.0,34.615651804755345
abcd,hbn,age,20,137,0.3853,1.0,0.4810596765307293,0.273,1.0,34.615651804755345
abcd,hbn,age,20,174,0.4159,1.0,0.4810596765307293,0.3116,1.0,34.615651804755345
abcd,hbn,age,20,221,0.4465,1.0,0.4810596765307293,0.3556,1.0,34.615651804755345
abcd,hbn,age,20,281,0.4685,1.0,0.4810596765307293,0.3886,1.0,34.615651804755345
abcd,hbn,age,20,358,0.4878,1.0,0.4810596765307293,0.4302,1.0,34.615651804755345
abcd,hbn,age,20,455,0.5016,1.0,0.4810596765307293,0.4582,1.0,34.615651804755345
abcd,hbn,age,20,578,0.5141,1.0,0.4810596765307293,0.481,1.0,34.615651804755345
abcd,hbn,age,20,735,0.5202,1.0,0.4810596765307293,0.4992,1.0,34.615651804755345
abcd,hbn,age,20,935,0.5256,1.0,0.4810596765307293,0.5142,1.0,34.615651804755345
abcd,hbn,age,20,1189,0.5291,1.0,0.4810596765307293,0.5274,1.0,34.615651804755345
abcd,hbn,age,20,1201,0.53,1.0,0.4810596765307293,0.5264,1.0,34.615651804755345
abcd,hbn,age,25,20,0.1563,1.0,0.4810596765307293,0.0992,1.0,34.615651804755345
abcd,hbn,age,25,25,0.1867,1.0,0.4810596765307293,0.1133,1.0,34.615651804755345
abcd,hbn,age,25,32,0.2237,1.0,0.4810596765307293,0.1402,1.0,34.615651804755345
abcd,hbn,age,25,41,0.2694,1.0,0.4810596765307293,0.1749,1.0,34.615651804755345
abcd,hbn,age,25,52,0.3131,1.0,0.4810596765307293,0.1926,1.0,34.615651804755345
abcd,hbn,age,25,67,0.3556,1.0,0.4810596765307293,0.2245,1.0,34.615651804755345
abcd,hbn,age,25,85,0.397,1.0,0.4810596765307293,0.2633,1.0,34.615651804755345
abcd,hbn,age,25,108,0.4354,1.0,0.4810596765307293,0.3095,1.0,34.615651804755345
abcd,hbn,age,25,137,0.4688,1.0,0.4810596765307293,0.3564,1.0,34.615651804755345
abcd,hbn,age,25,174,0.4983,1.0,0.4810596765307293,0.3953,1.0,34.615651804755345
abcd,hbn,age,25,221,0.524,1.0,0.4810596765307293,0.4397,1.0,34.615651804755345
abcd,hbn,age,25,281,0.5457,1.0,0.4810596765307293,0.4772,1.0,34.615651804755345
abcd,hbn,age,25,358,0.5649,1.0,0.4810596765307293,0.5084,1.0,34.615651804755345
abcd,hbn,age,25,455,0.5778,1.0,0.4810596765307293,0.531,1.0,34.615651804755345
abcd,hbn,age,25,578,0.5925,1.0,0.4810596765307293,0.5523,1.0,34.615651804755345
abcd,hbn,age,25,735,0.6009,1.0,0.4810596765307293,0.5763,1.0,34.615651804755345
abcd,hbn,age,25,935,0.6081,1.0,0.4810596765307293,0.5934,1.0,34.615651804755345
abcd,hbn,age,25,1189,0.6096,1.0,0.4810596765307293,0.6087,1.0,34.615651804755345
abcd,hbn,age,25,1201,0.61,1.0,0.4810596765307293,0.608,1.0,34.615651804755345
abcd,hbn,age,32,20,0.1512,1.0,0.4810596765307293,0.1058,1.0,34.615651804755345
abcd,hbn,age,32,25,0.1803,1.0,0.4810596765307293,0.116,1.0,34.615651804755345
abcd,hbn,age,32,32,0.2208,1.0,0.4810596765307293,0.1395,1.0,34.615651804755345
