train_dataset,pheno,num_train,r_med,r_lower,r_upper,mae_med,mae_lower,mae_upper,p_mae_gt,heldout_size,num_train_max,p_gt
abcd,age,6396,0.2041582349535157,0.1645172701698426,0.2480168185742866,6.365642057926747,6.203303319147164,6.534096851748533,0.002,1600,6396,8.124089205132445e-17
hbn,age,1001,0.682142626414026,0.6219043570688981,0.7340245065244435,23.96809910518558,21.49868438952256,25.97867441931841,0.002,200,1001,4.978618024346942e-29
hcpd,age,499,0.7688543936031131,0.6872960816209195,0.8496201718615726,23.299052096425104,19.46618709151996,27.56177177635548,0.002,100,499,4.816138998454014e-21
pnc,age,979,0.5440111444241256,0.4297916853760172,0.6182202064058107,28.19537340505984,26.042313033233984,30.621867635226582,0.002,200,979,4.2097901968003716e-17
abcd,mr,6246,0.2371230472818486,0.1959400722717927,0.279860508949538,2.8153948027152653,2.700688712535403,2.9379947536050284,0.002,1600,6246,3.4568779933695585e-22
hbn,mr,824,0.2776660272661735,0.1486009132469758,0.3782793998408884,3.390037048072049,3.121392229840725,3.667128803464489,0.0022,200,824,3.435083846558987e-05
hcpd,mr,319,0.2622324637756713,0.1278140840834907,0.3970493706397926,3.1475995993037555,2.800825440943475,3.6088247723605353,0.0326,100,319,0.004198826558417764
pnc,mr,972,0.2943898847685134,0.1904829198528703,0.386814303550672,4.229222208184181,3.897258632773216,4.63485773943866,0.002,200,972,1.1614389795841049e-05
abcd,mr_scaled,6242,0.2150262846754103,0.173913292952605,0.2597651131635379,2.236136335623921,2.154488752626748,2.320069787732532,0.002,1600,6242,1.7152295400975818e-18
hbn,mr_scaled,824,0.1511001559859051,0.0481322134332498,0.2539035461152313,2.533509777709244,2.3321171313961844,2.7286071932507587,0.02685,200,824,0.01634938020095733
hcpd,mr_scaled,319,0.2017051687679557,0.0392429236134351,0.3693598242239532,2.6973315008357512,2.412888703477773,3.071467132496696,0.0545,100,319,0.022087475277726122
abcd,ap,6393,0.1187398650705071,0.0742107515048225,0.1656533787799943,2.627717057227693,2.554064186791916,2.7085277503839342,0.002,1600,6393,9.549057097945178e-07
hbn,ap,950,-0.0067262772171657,-0.1222112139255783,0.119327707691874,3.982605503452344,3.692168944764151,4.39923820728054,0.50395,200,950,0.5376554279033612
hcpd,ap,357,0.0142038912027294,-0.1725656707702097,0.13028558948652,2.058745116399453,1.796706574853511,2.3624054500721283,0.4569499999999999,100,357,0.44422720822971706
pnc,ap,960,0.0331612598440569,-0.0595938871806556,0.1416659709746461,3.3389655774449656,3.0446055582949807,3.6155396732349008,0.24985,200,960,0.32055058044175466
abcd,bmi,6356,0.3963584886740747,0.3556986619131331,0.4359550003686417,0.8362299626900165,0.8084549975671639,0.8574461660853404,0.002,1600,6356,1.2432744749300235e-61
hbn,bmi,922,0.427972157562705,0.3262014500371475,0.5159249272928921,0.8265520607373205,0.7584332791600586,0.9137915614560522,0.002,200,922,1.297080133062313e-10
hcpd,bmi,498,0.4336349606184821,0.2264729107997141,0.5658331706936357,0.7696194902050628,0.6704300254517312,0.8590732108133412,0.002,100,498,3.289941380587086e-06
pnc,bmi,626,0.2755334955001516,0.1542277911181846,0.4098510348052294,0.8807749182619595,0.8012250916974103,0.9714686059649056,0.0021,200,626,3.925231429350212e-05
abcd,wm,6284,0.2193021947431967,0.1719701523466492,0.2539786771619839,2.3432349926198546,2.294142898703673,2.406576968567074,0.002,1600,6284,3.545290133800901e-19
hbn,wm,935,0.2199920460034223,0.0906732561788156,0.3261288767109547,3.002878816169028,2.681490641407338,3.271783543409799,0.0031999999999999,200,935,0.0008737552016671269
hcpd,wm,333,0.1710810201496607,0.0050008172509987,0.3248014146177307,2.2037348691459693,1.9973885592466984,2.4879039169892168,0.07225,100,333,0.04438963984465855
pnc,wm,964,0.2212395871682837,0.094611997847316,0.3444902461713926,1.7170195859268822,1.5497306157834456,1.9703069920094325,0.00275,200,964,0.0008211294939053864
abcd,wm_corrected,6284,0.2057846893349093,0.1567506611282019,0.241715049241085,11.436166398128476,11.121492309317672,11.747286574746026,0.002,1600,6284,4.622887017416596e-17
hbn,wm_corrected,935,0.1537175793239401,0.0190333863030685,0.2495148063038146,12.875556342832612,11.79629902874007,14.12883948854689,0.0199,200,935,0.014882577316160026
hcpd,wm_corrected,333,0.0880970405360753,-0.0677257135903405,0.2247429256340806,11.16036267509543,9.798090154076352,12.460734762750745,0.1149,100,333,0.1917158503401023
abcd,ad,6393,0.0721759237960987,0.0423218482304877,0.1094688658509052,2.26758294963042,2.1898092346787097,2.357513085018261,0.0065,1600,6393,0.0019351220262923442
hbn,ad,950,0.0079245785208421,-0.1103031496979454,0.1083827671733473,3.685059894401818,3.411011418222824,4.070948839405379,0.38895,200,950,0.45566157387107453
hcpd,ad,357,-0.0676137602515147,-0.2114294567156442,0.0996441004923951,2.2187903991145355,1.9232024263801628,2.482591091129249,0.74935,100,357,0.7480616093773782
pnc,ad,859,0.1250457642373018,0.013022286561911,0.2378611502100132,3.070083182583497,2.773309270044481,3.4667993927563745,0.05475,200,859,0.03884402680896954
