train_dataset,test_dataset,pheno,num_train,num_test,pos_rate,sig_ground_truth,r_ground_truth
abcd,hbn,attn,20,20,0.052,0.0,-0.0094976197272978
abcd,hbn,attn,20,27,0.0563,0.0,-0.0094976197272978
abcd,hbn,attn,20,36,0.0603,0.0,-0.0094976197272978
abcd,hbn,attn,20,48,0.0555,0.0,-0.0094976197272978
abcd,hbn,attn,20,64,0.0559,0.0,-0.0094976197272978
abcd,hbn,attn,20,85,0.0634,0.0,-0.0094976197272978
abcd,hbn,attn,20,114,0.0662,0.0,-0.0094976197272978
abcd,hbn,attn,20,153,0.081,0.0,-0.0094976197272978
abcd,hbn,attn,20,204,0.1024,0.0,-0.0094976197272978
abcd,hbn,attn,20,273,0.1193,0.0,-0.0094976197272978
abcd,hbn,attn,20,365,0.145,0.0,-0.0094976197272978
abcd,hbn,attn,20,488,0.1698,0.0,-0.0094976197272978
abcd,hbn,attn,20,652,0.2031,0.0,-0.0094976197272978
abcd,hbn,attn,20,872,0.2449,0.0,-0.0094976197272978
abcd,hbn,attn,20,1150,0.28,0.0,-0.0094976197272978
abcd,hbn,attn,27,20,0.0513,0.0,-0.0094976197272978
abcd,hbn,attn,27,27,0.0521,0.0,-0.0094976197272978
abcd,hbn,attn,27,36,0.0583,0.0,-0.0094976197272978
abcd,hbn,attn,27,48,0.0521,0.0,-0.0094976197272978
abcd,hbn,attn,27,64,0.055,0.0,-0.0094976197272978
abcd,hbn,attn,27,85,0.0593,0.0,-0.0094976197272978
abcd,hbn,attn,27,114,0.057,0.0,-0.0094976197272978
abcd,hbn,attn,27,153,0.0721,0.0,-0.0094976197272978
abcd,hbn,attn,27,204,0.0915,0.0,-0.0094976197272978
abcd,hbn,attn,27,273,0.1027,0.0,-0.0094976197272978
abcd,hbn,attn,27,365,0.121,0.0,-0.0094976197272978
abcd,hbn,attn,27,488,0.1355,0.0,-0.0094976197272978
abcd,hbn,attn,27,652,0.1655,0.0,-0.0094976197272978
abcd,hbn,attn,27,872,0.1992,0.0,-0.0094976197272978
abcd,hbn,attn,27,1150,0.24,0.0,-0.0094976197272978
abcd,hbn,attn,36,20,0.0484,0.0,-0.0094976197272978
abcd,hbn,attn,36,27,0.0503,0.0,-0.0094976197272978
abcd,hbn,attn,36,36,0.0573,0.0,-0.0094976197272978
abcd,hbn,attn,36,48,0.0498,0.0,-0.0094976197272978
abcd,hbn,attn,36,64,0.0535,0.0,-0.0094976197272978
abcd,hbn,attn,36,85,0.05,0.0,-0.0094976197272978
abcd,hbn,attn,36,114,0.0509,0.0,-0.0094976197272978
abcd,hbn,attn,36,153,0.0646,0.0,-0.0094976197272978
abcd,hbn,attn,36,204,0.0746,0.0,-0.0094976197272978
abcd,hbn,attn,36,273,0.0856,0.0,-0.0094976197272978
abcd,hbn,attn,36,365,0.102,0.0,-0.0094976197272978
abcd,hbn,attn,36,488,0.1122,0.0,-0.0094976197272978
abcd,hbn,attn,36,652,0.1356,0.0,-0.0094976197272978
abcd,hbn,attn,36,872,0.1609,0.0,-0.0094976197272978
abcd,hbn,attn,36,1150,0.17,0.0,-0.0094976197272978
abcd,hbn,attn,48,20,0.0495,0.0,-0.0094976197272978
abcd,hbn,attn,48,27,0.05,0.0,-0.0094976197272978
abcd,hbn,attn,48,36,0.0522,0.0,-0.0094976197272978
abcd,hbn,attn,48,48,0.0487,0.0,-0.0094976197272978
abcd,hbn,attn,48,64,0.0518,0.0,-0.0094976197272978
abcd,hbn,attn,48,85,0.0546,0.0,-0.0094976197272978
abcd,hbn,attn,48,114,0.0548,0.0,-0.0094976197272978
abcd,hbn,attn,48,153,0.0655,0.0,-0.0094976197272978
abcd,hbn,attn,48,204,0.0743,0.0,-0.0094976197272978
abcd,hbn,attn,48,273,0.0808,0.0,-0.0094976197272978
abcd,hbn,attn,48,365,0.0918,0.0,-0.0094976197272978
abcd,hbn,attn,48,488,0.1009,0.0,-0.0094976197272978
abcd,hbn,attn,48,652,0.1181,0.0,-0.0094976197272978
