train_dataset,pheno,num_train,r_med,r_lower,r_upper
abcd,attn,20,0.0031922530093431,-0.08958154325648561,0.10459372566173401
abcd,attn,27,-0.0022980487349217498,-0.07087279862673464,0.08519309903227165
abcd,attn,36,0.00641248016842525,-0.06275193148109116,0.0830723619326032
abcd,attn,48,0.0134857159357264,-0.05651895207555188,0.0845485009312695
abcd,attn,64,0.015612020146181,-0.05249544731478354,0.07381245914588938
abcd,attn,85,0.0202746306980708,-0.047021838334966856,0.06867529120654568
abcd,attn,114,0.0159289180608973,-0.04627492098080823,0.06971629245045154
abcd,attn,153,0.0181383646623898,-0.031419786057577836,0.0623465407094281
abcd,attn,204,0.01857547171792795,-0.01855655884475291,0.06451797238984518
abcd,attn,273,0.01975804480253735,-0.022984512806030144,0.06721976113339424
abcd,attn,365,0.024137521061553098,-0.015151852309235502,0.07452473116060894
abcd,attn,488,0.0271914147207665,-0.011005969057753353,0.07370513955281684
abcd,attn,652,0.03267921630029645,-0.006383876259481796,0.07416439875733888
abcd,attn,872,0.0406518168274698,0.00425166506264268,0.0788111042456643
abcd,attn,1165,0.041408653930255196,0.007445992085908035,0.07867070166664346
abcd,attn,1558,0.04862233251594505,0.007482176329363472,0.08527370751340775
abcd,attn,2083,0.0517502028540555,0.018073657651689678,0.09167139116889148
abcd,attn,2784,0.05750554074077385,0.017473099946378093,0.0881299438347067
abcd,attn,3722,0.0667136066591695,0.03373324436308217,0.0885958394312724
abcd,attn,4975,0.07274729824266016,0.033717463690043435,0.0950802329174617
abcd,mr,20,0.0047683126746149995,-0.11631418748175233,0.12735924924340683
abcd,mr,27,0.01582988599604785,-0.08572095880602007,0.10522601353231635
abcd,mr,36,0.0329846828583914,-0.08719982852734481,0.10302274510944055
abcd,mr,48,0.03976910486238715,-0.06964033570496408,0.10061927680537157
abcd,mr,64,0.036176284290533045,-0.06420727000318313,0.1051749180389794
abcd,mr,85,0.04255835561605995,-0.043625420142935946,0.10334537581055031
abcd,mr,114,0.047752910288842904,-0.026801037186548794,0.10301643592371744
abcd,mr,153,0.0552440197397545,-0.02148603261688607,0.1053266041812746
abcd,mr,204,0.0570249249425968,-0.00822947720176547,0.10762655018339337
abcd,mr,273,0.06503075963266419,0.01719387003978157,0.10653180549602077
abcd,mr,365,0.07503808623926755,0.004120450842933828,0.11568888302079006
abcd,mr,488,0.0787153920754195,0.03000590397505078,0.11863728130359709
abcd,mr,652,0.08584655506373905,0.04142171594457763,0.12314454404094119
abcd,mr,872,0.09139239628241005,0.0539335192375664,0.12658333775671146
abcd,mr,1165,0.10019256215349895,0.06371818224233734,0.1377025121970851
abcd,mr,1558,0.10802783482354844,0.07346721763769064,0.14111336366382385
abcd,mr,2083,0.112480317020571,0.08152999444296286,0.14399390858804503
abcd,mr,2784,0.1226928593215785,0.09286800945385465,0.15414534605688504
abcd,mr,3722,0.1324724641761042,0.10557172745333417,0.16067609757718868
abcd,mr,4822,0.1432661415777336,0.11539419561080125,0.16610838843183268
hbn,age,20,0.38143682497592896,0.1785682533325412,0.5350051275834702
hbn,age,27,0.412792769163519,0.2194417484061461,0.5469335563198109
hbn,age,36,0.44288608691997355,0.2643278320039943,0.5841559892916102
hbn,age,48,0.4721965385627157,0.3515238436402566,0.6132146395424458
hbn,age,64,0.5011707434035373,0.38659547058750643,0.619378065015439
hbn,age,85,0.5285910847558954,0.4260419023708105,0.6322003496523203
hbn,age,114,0.5448237851021775,0.43902257658534033,0.636480223850366
hbn,age,153,0.5765213636835833,0.44793492278482805,0.6623512181623772
hbn,age,204,0.5870920705234126,0.48510980367934603,0.6659781076441852
hbn,age,273,0.6119508228031574,0.5223626337201221,0.6860531411117781
hbn,age,365,0.6283514130579766,0.5655220545338162,0.696807256343259
hbn,age,488,0.6446969412297165,0.5813361904429345,0.7118803424863827
hbn,age,652,0.6614796303632474,0.6002007860709395,0.7249370555667742
hbn,age,872,0.669945965499439,0.6058794160293761,0.7342605115309371
hbn,age,1001,0.6822646863501041,0.6235015097270056,0.7284946541860329
hbn,attn,20,0.00288067639493105,-0.1290442557143126,0.18933096413922354
hbn,attn,27,-0.00020528462479505,-0.1438574079455477,0.15470563770390508
hbn,attn,36,-0.00031436572428985004,-0.14647391494950265,0.14091957658423712
hbn,attn,48,4.550449637750022e-06,-0.16596799205123178,0.12010354927919221
hbn,attn,64,0.00469099842422135,-0.15519236974584374,0.13398750914562593
hbn,attn,85,-0.0037724370975691004,-0.13150983840561564,0.1320245054734827
hbn,attn,114,0.0106379378386759,-0.10217516899714565,0.12404211285795967
hbn,attn,153,-0.0014199610890170001,-0.09130179750509013,0.14923047354252603
hbn,attn,204,-0.00320844961567505,-0.1377868219464801,0.10957285052442062
hbn,attn,273,0.0008998002480590999,-0.11669505163188448,0.11864996992308323
hbn,attn,365,-0.0186940430730566,-0.10652498709701984,0.12026409159501675
hbn,attn,488,0.0027108815906116,-0.14427757199398245,0.12318963366147219
