dataset,pheno,r,q2
abcd,mr,0.1312590184500778,0.008598169466346117
hbn,mr,0.2750073745369084,0.0716676731176123
hcpd,mr,0.27031846532778303,0.05470455372386723
pnc,mr,0.26843242652612326,0.045569901459299345
hbn,age,0.6776386892587207,0.4557741019211864
hcpd,age,0.7706015450878209,0.593409100503302
pnc,age,0.5132422286099105,0.2627780782570797
abcd,attn,0.06304311751128683,-0.014981722753225735
hbn,attn,-0.002498425088048581,-0.14126551083316952
hcpd,attn,0.017864348942586414,-0.18101246696643603
pnc,attn,0.019374248560320856,-0.12816742656653823
